2024-10-16 11:34:36,531:INFO:Connected to the database.
2024-10-16 11:34:36,533:INFO:Read CSV with 23 records.
2024-10-16 11:34:36,533:INFO:Columns in CSV: ['image_file', 'label', 'bbox_x_min', 'bbox_y_min', 'bbox_width', 'bbox_height', 'image_width', 'image_height']
2024-10-16 11:34:36,534:INFO:Inserted row: {'image_file': 'photo_2024-10-16_09-49-54 (1).jpg', 'label': 'medicine bottle', 'bbox_x_min': 38, 'bbox_y_min': 67, 'bbox_width': 635, 'bbox_height': 625, 'image_width': 1080, 'image_height': 1080}
2024-10-16 11:34:36,535:INFO:Inserted row: {'image_file': 'photo_2024-10-16_09-49-54 (1).jpg', 'label': 'medicine', 'bbox_x_min': 45, 'bbox_y_min': 392, 'bbox_width': 631, 'bbox_height': 290, 'image_width': 1080, 'image_height': 1080}
2024-10-16 11:34:36,535:INFO:Inserted row: {'image_file': 'photo_2024-10-16_09-49-54 (1).jpg', 'label': 'logo', 'bbox_x_min': 757, 'bbox_y_min': 186, 'bbox_width': 186, 'bbox_height': 155, 'image_width': 1080, 'image_height': 1080}
2024-10-16 11:34:36,535:INFO:Inserted row: {'image_file': 'photo_2024-10-16_09-49-54 (1).jpg', 'label': 'medicine bottle', 'bbox_x_min': 757, 'bbox_y_min': 186, 'bbox_width': 186, 'bbox_height': 155, 'image_width': 1080, 'image_height': 1080}
2024-10-16 11:34:36,536:INFO:Inserted row: {'image_file': 'photo_2024-10-16_09-49-54 (1).jpg', 'label': 'medicine bottle', 'bbox_x_min': 76, 'bbox_y_min': 71, 'bbox_width': 594, 'bbox_height': 620, 'image_width': 1080, 'image_height': 1080}
2024-10-16 11:34:36,536:INFO:Inserted row: {'image_file': 'photo_2024-10-16_09-49-58.jpg', 'label': 'product box', 'bbox_x_min': 1, 'bbox_y_min': 85, 'bbox_width': 449, 'bbox_height': 255, 'image_width': 450, 'image_height': 450}
2024-10-16 11:34:36,537:INFO:Inserted row: {'image_file': 'photo_2024-10-16_09-49-58.jpg', 'label': 'green tea', 'bbox_x_min': 6, 'bbox_y_min': 154, 'bbox_width': 102, 'bbox_height': 53, 'image_width': 450, 'image_height': 450}
2024-10-16 11:34:36,537:INFO:Inserted row: {'image_file': 'photo_2024-10-16_09-49-57.jpg', 'label': 'food', 'bbox_x_min': 0, 'bbox_y_min': 3, 'bbox_width': 811, 'bbox_height': 671, 'image_width': 811, 'image_height': 1000}
2024-10-16 11:34:36,537:INFO:Inserted row: {'image_file': 'photo_2024-10-16_09-49-58 (1).jpg', 'label': 'food', 'bbox_x_min': 118, 'bbox_y_min': 12, 'bbox_width': 998, 'bbox_height': 684, 'image_width': 1280, 'image_height': 1280}
2024-10-16 11:34:36,538:INFO:Inserted row: {'image_file': 'photo_2024-10-16_09-49-52.jpg', 'label': 'logo', 'bbox_x_min': 26, 'bbox_y_min': 20, 'bbox_width': 202, 'bbox_height': 160, 'image_width': 1080, 'image_height': 1080}
2024-10-16 11:34:36,538:INFO:Inserted row: {'image_file': 'photo_2024-10-16_09-49-53 (2).jpg', 'label': 'logo', 'bbox_x_min': 33, 'bbox_y_min': 28, 'bbox_width': 234, 'bbox_height': 186, 'image_width': 1080, 'image_height': 1080}
2024-10-16 11:34:36,538:INFO:Inserted row: {'image_file': 'photo_2024-10-16_09-49-57 (1).jpg', 'label': 'food', 'bbox_x_min': 254, 'bbox_y_min': 571, 'bbox_width': 505, 'bbox_height': 125, 'image_width': 1000, 'image_height': 1000}
2024-10-16 11:34:36,539:INFO:Inserted row: {'image_file': 'photo_2024-10-16_09-49-53 (1).jpg', 'label': 'food', 'bbox_x_min': 531, 'bbox_y_min': 494, 'bbox_width': 538, 'bbox_height': 202, 'image_width': 1080, 'image_height': 1080}
